2014-2018 Root Mean Square Error of the 90-day low-pass-filtered transport in the Rockall Trough. 
Data published in Houpert et al. (2020). Observed variability of the North Atlantic Current in the Rockall Trough from four years of mooring measurements. Journal of Geophysical Research: Oceans, https://doi.org/10.1029/2020JC016403
Year, Month, Day, Hour, Days since January 0 0000, RMSE Total Transport (Sv), RMSE Eastern Wedge Transport (Sv), RMSE Western Wedge Transport (Sv), RMSE Mid-Basin Transport (Sv)
2014,6,1,0,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,1,12,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,2,0,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,2,12,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,3,0,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,3,12,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,4,0,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,4,12,7.3575e+05,NaN,NaN,NaN,NaN
2014,6,5,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,5,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,6,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,6,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,7,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,7,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,8,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,8,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,9,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,9,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,10,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,10,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,11,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,11,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,12,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,12,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,13,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,13,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,14,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,14,12,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,15,0,7.3576e+05,NaN,NaN,NaN,NaN
2014,6,15,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,16,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,16,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,17,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,17,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,18,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,18,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,19,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,19,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,20,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,20,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,21,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,21,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,22,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,22,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,23,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,23,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,24,0,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,24,12,7.3577e+05,NaN,NaN,NaN,NaN
2014,6,25,0,7.3578e+05,NaN,NaN,NaN,NaN
2014,6,25,12,7.3578e+05,NaN,NaN,NaN,NaN
2014,6,26,0,7.3578e+05,NaN,NaN,NaN,NaN
2014,6,26,12,7.3578e+05,NaN,NaN,NaN,NaN
2014,6,27,0,7.3578e+05,NaN,NaN,NaN,NaN
2014,6,27,12,7.3578e+05,NaN,NaN,NaN,NaN
2014,6,28,0,7.3578e+05,NaN,NaN,NaN,NaN
2014,6,28,12,7.3578e+05,NaN,NaN,NaN,NaN
