2014-2018 90-day low-pass-filtered transport in the Rockall Trough.
Data published in Houpert et al. (2020), Observed variability of the North Atlantic Current in the Rockall Trough from four years of mooring measurements. Journal of Geophysical Research: Oceans, https://doi.org/10.1029/2020JC016403
Year, Month, Day, Hour, Days since January 0 0000, Total Rockall Trough Transport (Sv), Eastern Wedge Transport (Sv), Western Wedge Transport (Sv), Mid-Basin Transport (Sv)
2014,6,1,0,7.3575e+05,NaN,0.63294,-0.039768,NaN
2014,6,1,12,7.3575e+05,NaN,0.63334,-0.036279,NaN
2014,6,2,0,7.3575e+05,NaN,0.63351,-0.032691,NaN
2014,6,2,12,7.3575e+05,NaN,0.63343,-0.02901,NaN
2014,6,3,0,7.3575e+05,NaN,0.63311,-0.025239,NaN
2014,6,3,12,7.3575e+05,NaN,0.63254,-0.021382,NaN
2014,6,4,0,7.3575e+05,NaN,0.63171,-0.017446,NaN
2014,6,4,12,7.3575e+05,NaN,0.63062,-0.013434,NaN
2014,6,5,0,7.3576e+05,NaN,0.62926,-0.0093526,NaN
2014,6,5,12,7.3576e+05,NaN,0.62762,-0.0052064,NaN
2014,6,6,0,7.3576e+05,NaN,0.6257,-0.0010016,NaN
2014,6,6,12,7.3576e+05,NaN,0.6235,0.0032557,NaN
2014,6,7,0,7.3576e+05,NaN,0.621,0.0075591,NaN
2014,6,7,12,7.3576e+05,NaN,0.61822,0.011902,NaN
2014,6,8,0,7.3576e+05,NaN,0.61513,0.016278,NaN
2014,6,8,12,7.3576e+05,NaN,0.61174,0.020679,NaN
2014,6,9,0,7.3576e+05,NaN,0.60804,0.025098,NaN
2014,6,9,12,7.3576e+05,NaN,0.60403,0.029528,NaN
2014,6,10,0,7.3576e+05,NaN,0.59971,0.03396,NaN
2014,6,10,12,7.3576e+05,NaN,0.59507,0.038387,NaN
2014,6,11,0,7.3576e+05,NaN,0.59011,0.042799,NaN
2014,6,11,12,7.3576e+05,NaN,0.58482,0.047188,NaN
2014,6,12,0,7.3576e+05,NaN,0.57921,0.051546,NaN
2014,6,12,12,7.3576e+05,NaN,0.57326,0.055862,NaN
2014,6,13,0,7.3576e+05,NaN,0.56699,0.060128,NaN
2014,6,13,12,7.3576e+05,NaN,0.56038,0.064334,NaN
2014,6,14,0,7.3576e+05,NaN,0.55343,0.06847,NaN
2014,6,14,12,7.3576e+05,NaN,0.54615,0.072525,NaN
2014,6,15,0,7.3576e+05,NaN,0.53854,0.07649,NaN
2014,6,15,12,7.3577e+05,NaN,0.53058,0.080353,NaN
2014,6,16,0,7.3577e+05,NaN,0.52229,0.084104,NaN
2014,6,16,12,7.3577e+05,NaN,0.51366,0.087732,NaN
2014,6,17,0,7.3577e+05,NaN,0.50468,0.091225,NaN
2014,6,17,12,7.3577e+05,NaN,0.49538,0.094573,NaN
2014,6,18,0,7.3577e+05,NaN,0.48573,0.097763,NaN
2014,6,18,12,7.3577e+05,NaN,0.47575,0.10078,NaN
2014,6,19,0,7.3577e+05,NaN,0.46543,0.10362,NaN
2014,6,19,12,7.3577e+05,NaN,0.45478,0.10627,NaN
2014,6,20,0,7.3577e+05,NaN,0.44379,0.10871,NaN
2014,6,20,12,7.3577e+05,NaN,0.43248,0.11093,NaN
2014,6,21,0,7.3577e+05,NaN,0.42085,0.11292,NaN
2014,6,21,12,7.3577e+05,NaN,0.40888,0.11467,NaN
2014,6,22,0,7.3577e+05,NaN,0.3966,0.11615,NaN
2014,6,22,12,7.3577e+05,NaN,0.38401,0.11737,NaN
2014,6,23,0,7.3577e+05,NaN,0.3711,0.11831,NaN
2014,6,23,12,7.3577e+05,NaN,0.35788,0.11895,NaN
2014,6,24,0,7.3577e+05,NaN,0.34437,0.11928,NaN
2014,6,24,12,7.3577e+05,NaN,0.33055,0.11929,NaN
2014,6,25,0,7.3578e+05,NaN,0.31644,0.11896,NaN
2014,6,25,12,7.3578e+05,NaN,0.30204,0.11828,NaN
2014,6,26,0,7.3578e+05,NaN,0.28737,0.11724,NaN
2014,6,26,12,7.3578e+05,NaN,0.27241,0.11582,NaN
2014,6,27,0,7.3578e+05,NaN,0.25719,0.11401,NaN
2014,6,27,12,7.3578e+05,NaN,0.24171,0.11179,NaN
2014,6,28,0,7.3578e+05,NaN,0.22598,0.10916,NaN
2014,6,28,12,7.3578e+05,NaN,0.21,0.10609,NaN
2014,6,29,0,7.3578e+05,NaN,0.19378,0.10258,NaN
